Name	Year of birth	Year of death	Nationality	Notable 20th-century works	Remarks	URL	Pageviews
Hugo Wolf	1860	1903.0	Austrian			https://en.wikipedia.org/wiki/Hugo_Wolf	39952.0
Shirley Graham Du Bois	1896	1977.0	American			https://en.wikipedia.org/wiki/Shirley_Graham_Du_Bois	39431.0
Allen Shawn	1948		American			https://en.wikipedia.org/wiki/Allen_Shawn	39299.0
Jon Hassell	1937	2021.0	American			https://en.wikipedia.org/wiki/Jon_Hassell	38752.0
Michael Tippett	1905	1998.0	English	The Midsummer Marriage; 4 symphonies;A Child of Our Time(oratorio)		https://en.wikipedia.org/wiki/Michael_Tippett	38659.0
Artur Schnabel	1882	1951.0	Austrian			https://en.wikipedia.org/wiki/Artur_Schnabel	38555.0
Nikolai Kapustin	1937	2020.0	Russian			https://en.wikipedia.org/wiki/Nikolai_Kapustin	38454.0
Nikolai Medtner	1880	1951.0	Russian	38Skazkifor piano,Piano Concerto No. 3	Romanticism	https://en.wikipedia.org/wiki/Nikolai_Medtner	38229.0
Arnold Bax	1883	1953.0	English	Symphony No. 2,No. 3, andNo. 6;Tintagel	Romanticism,impressionism	https://en.wikipedia.org/wiki/Arnold_Bax	37685.0
Mieczysław Weinberg	1919	1996.0	Polish	The Passengerand other operas,Violin Concerto		https://en.wikipedia.org/wiki/Mieczys%C5%82aw_Weinberg	37271.0
Ruggero Leoncavallo	1857	1919.0	Italian	Zingari(opera)	verismo	https://en.wikipedia.org/wiki/Ruggero_Leoncavallo	37085.0
William Lloyd Webber	1914	1982.0	English			https://en.wikipedia.org/wiki/William_Lloyd_Webber	37049.0
Cécile Chaminade	1857	1944.0	French	Concertino for Flute		https://en.wikipedia.org/wiki/C%C3%A9cile_Chaminade	36725.0
Kaija Saariaho	1952	2023.0	Finnish	L’amour de loin;Adriana Mater;La Passion de Simone		https://en.wikipedia.org/wiki/Kaija_Saariaho	36446.0
Ernest Bloch	1880	1959.0	American (Swiss-born)	Schelomo;Suite hébraïque		https://en.wikipedia.org/wiki/Ernest_Bloch	36441.0
Victor Herbert	1859	1924.0	Irish-American	The Magic Knight(opera);The Red Mill(musical comedy);A Suite of Serenades		https://en.wikipedia.org/wiki/Victor_Herbert	36396.0
César Cui	1835	1918.0	Russian			https://en.wikipedia.org/wiki/C%C3%A9sar_Cui	35795.0
Agustín Barrios	1885	1944.0	Paraguayan			https://en.wikipedia.org/wiki/Agust%C3%ADn_Barrios	35647.0
Virgil Thomson	1896	1989.0	American	Four Saints in Three Acts,The Mother of Us All;Louisiana Story; also noted critic	folk-influenced,eclectic	https://en.wikipedia.org/wiki/Virgil_Thomson	35562.0
Einojuhani Rautavaara	1928	2016.0	Finnish	"Cantus Arcticus;Symphony No. 7 ""Angel of Light"";Piano Concerto No. 3 ""The Gift of Dreams"""		https://en.wikipedia.org/wiki/Einojuhani_Rautavaara	35398.0
Alan Hovhaness	1911	2000.0	Armenian-American	67 numbered symphonies includingMysterious Mountain;And God Created Great Whales(taped whale sounds and orchestra);Fantasy on Japanese Woodprints		https://en.wikipedia.org/wiki/Alan_Hovhaness	35213.0
Dmitry Kabalevsky	1904	1987.0	Russian	The Comedians		https://en.wikipedia.org/wiki/Dmitry_Kabalevsky	34784.0
John Corigliano	1938		American	Symphony No. 2;A Dylan Thomas Trilogy	polystylism, also compose of film music:The Red Violin	https://en.wikipedia.org/wiki/John_Corigliano	34409.0
