Name	Year of birth	Year of death	Nationality	Notable 20th-century works	Remarks	URL	Pageviews	IMSLP_URL	IMSLP_Exists
Philippe Manoury	1952		French	60th Parallel(opera),Plutonfor piano and live electronics	punctualism,computer-assisted composition	https://en.wikipedia.org/wiki/Philippe_Manoury	4774.0	https://imslp.org/wiki/Category:Manoury,_Philippe	False
Cristóbal Halffter	1930	2021.0	Spanish	Líneas y puntos;Don Quixote	eclectic,electronic music	https://en.wikipedia.org/wiki/Crist%C3%B3bal_Halffter	4769.0	https://imslp.org/wiki/Category:Halffter,_Cristóbal	False
Karl-Birger Blomdahl	1916	1968.0	Swedish	Aniara(opera)	Swedishmodernism	https://en.wikipedia.org/wiki/Karl-Birger_Blomdahl	4769.0	https://imslp.org/wiki/Category:Blomdahl,_Karl-Birger	False
Hans Huber	1852	1921.0	Swiss		Romanticism	https://en.wikipedia.org/wiki/Hans_Huber_(composer)	4767.0	https://imslp.org/wiki/Category:Huber,_Hans	True
John J. Becker	1886	1961.0	American			https://en.wikipedia.org/wiki/John_J._Becker	4761.0	https://imslp.org/wiki/Category:Becker,_John_J.	True
William Baines	1899	1922.0	English			https://en.wikipedia.org/wiki/William_Baines	4761.0	https://imslp.org/wiki/Category:Baines,_William	True
Irfan Ljubijankić	1952	1995.0	Bosnian			https://en.wikipedia.org/wiki/Irfan_Ljubijanki%C4%87	4754.0	https://imslp.org/wiki/Category:Ljubijankić,_Irfan	False
Jacques Castérède	1926	2014.0	French			https://en.wikipedia.org/wiki/Jacques_Cast%C3%A9r%C3%A8de	4753.0	https://imslp.org/wiki/Category:Castérède,_Jacques	False
Joachim Andersen	1847	1909.0	Danish			https://en.wikipedia.org/wiki/Joachim_Andersen_(composer)	4752.0	https://imslp.org/wiki/Category:Andersen,_Joachim	True
Harold Shapero	1920	2013.0	American	Symphony for Classical Orchestra		https://en.wikipedia.org/wiki/Harold_Shapero	4751.0	https://imslp.org/wiki/Category:Shapero,_Harold	True
Tadeusz Baird	1928	1981.0	Polish			https://en.wikipedia.org/wiki/Tadeusz_Baird	4747.0	https://imslp.org/wiki/Category:Baird,_Tadeusz	False
Leo Fall	1873	1925.0	Austrian	Madame Pompadour(operetta)	Romanticism	https://en.wikipedia.org/wiki/Leo_Fall	4745.0	https://imslp.org/wiki/Category:Fall,_Leo	True
Fernando Lopes-Graça	1906	1994.0	Portuguese			https://en.wikipedia.org/wiki/Fernando_Lopes-Gra%C3%A7a	4744.0	https://imslp.org/wiki/Category:Lopes-Graça,_Fernando	False
André Hossein	1905	1983.0	Iranian			https://en.wikipedia.org/wiki/Andr%C3%A9_Hossein	4741.0	https://imslp.org/wiki/Category:Hossein,_André	False
Ingvar Lidholm	1921	2017.0	Swedish			https://en.wikipedia.org/wiki/Ingvar_Lidholm	4731.0	https://imslp.org/wiki/Category:Lidholm,_Ingvar	False
Hormoz Farhat	1929	2021.0	Iranian			https://en.wikipedia.org/wiki/Hormoz_Farhat	4730.0	https://imslp.org/wiki/Category:Farhat,_Hormoz	False
Larry Austin	1930	2018.0	American	Improvisations for Orchestra and Jazz Soloists	electronic music,computer music, jazz-influenced	https://en.wikipedia.org/wiki/Larry_Austin	4717.0	https://imslp.org/wiki/Category:Austin,_Larry	False
Pierre-Octave Ferroud	1900	1936.0	French			https://en.wikipedia.org/wiki/Pierre-Octave_Ferroud	4712.0	https://imslp.org/wiki/Category:Ferroud,_Pierre-Octave	True
